term,weeks_mentioned,active_weeks,partisan_score,cv,extreme_ratio,max_min_ratio,lean,avg_far-left,avg_center-left,avg_center,avg_center-right,avg_far-right
team,149,149,0.4185,0.4185,0.2485,3.31,balanced,0.00236,0.00512,0.00609,0.00569,0.00184
woman,170,170,0.3701,0.3701,0.4359,2.71,right,0.0048,0.00777,0.00593,0.01298,0.00683
house,170,170,0.3697,0.3697,1.2671,2.71,extreme-both,0.01759,0.00836,0.00922,0.01418,0.02266
end,150,150,0.3673,0.3673,0.8775,2.99,left,0.00571,0.00503,0.00313,0.00191,0.00313
court,170,170,0.3589,0.3589,1.2321,3.2,extreme-both,0.01557,0.0086,0.00487,0.01093,0.01448
russia,113,113,0.3512,0.3512,0.749,3.23,right-lean,0.0038,0.00622,0.00206,0.00568,0.00666
public,130,130,0.3483,0.3483,0.598,3.07,left,0.00391,0.00331,0.00332,0.00204,0.00128
star,170,170,0.3401,0.3401,0.3917,3.47,right,0.00429,0.01077,0.0101,0.01491,0.00972
israel,135,135,0.333,0.333,1.176,2.75,balanced,0.01554,0.01276,0.00719,0.0101,0.01979
war,170,170,0.3316,0.3316,1.1949,2.57,left-lean,0.01489,0.01082,0.00578,0.00773,0.01419
federal,120,120,0.3302,0.3302,1.0811,2.68,right,0.00815,0.00384,0.00502,0.0082,0.01029
2024,118,118,0.3205,0.3205,0.4987,2.19,left-lean,0.01587,0.01513,0.0282,0.01435,0.0129
national,137,137,0.3009,0.3009,0.6001,2.3,right,0.003,0.00369,0.00529,0.00689,0.00652
man,170,170,0.2944,0.2944,0.4972,2.0,right,0.0138,0.01492,0.01559,0.02756,0.01507
old,169,169,0.2927,0.2927,0.5087,2.22,right,0.00532,0.0059,0.00798,0.01179,0.00774
city,170,170,0.2837,0.2837,0.4745,2.5,balanced,0.01133,0.01075,0.01056,0.01656,0.00663
ukraine,130,130,0.2834,0.2834,0.9079,2.77,balanced,0.0079,0.00866,0.00377,0.00776,0.01042
down,170,170,0.2821,0.2821,1.1038,2.16,right-lean,0.01266,0.00898,0.00756,0.00971,0.01631
u.s.,170,170,0.2708,0.2708,1.0103,2.13,balanced,0.01087,0.01064,0.00797,0.0071,0.0151
plan,117,117,0.2584,0.2584,0.9379,2.03,left,0.00507,0.00415,0.00274,0.0025,0.00374
win,169,169,0.2542,0.2542,0.4455,2.39,left-lean,0.01143,0.01325,0.01266,0.01219,0.00554
york,130,130,0.2533,0.2533,0.672,2.09,left-lean,0.0046,0.00471,0.00227,0.00474,0.00327
school,170,170,0.2516,0.2516,0.5296,2.1,right,0.00735,0.00895,0.01231,0.01544,0.01208
deal,139,139,0.2459,0.2459,0.496,1.96,left-lean,0.00404,0.0079,0.00569,0.00461,0.00499
police,170,170,0.2407,0.2407,0.5985,1.9,right,0.01049,0.00993,0.01314,0.01888,0.01462
death,165,165,0.2045,0.2045,0.5692,1.72,right-lean,0.00646,0.00762,0.00688,0.01112,0.00812
world,170,170,0.1778,0.1778,0.4913,1.69,left-lean,0.01009,0.01481,0.01186,0.01167,0.00875
life,170,170,0.1711,0.1711,0.6305,1.6,balanced,0.00608,0.00946,0.00852,0.00707,0.00972
former,170,170,0.1691,0.1691,0.7428,1.57,right,0.00906,0.00828,0.00962,0.01175,0.01296
women,168,168,0.153,0.153,0.6534,1.58,left-lean,0.00903,0.01077,0.00839,0.0068,0.00793
day,170,170,0.1342,0.1342,0.5762,1.36,right-lean,0.01397,0.01258,0.01711,0.01715,0.01302
new,170,170,0.1281,0.1281,0.6304,1.5,left-lean,0.06713,0.05914,0.06147,0.05683,0.04472
people,170,170,0.1135,0.1135,0.7741,1.42,left-lean,0.01363,0.01253,0.00962,0.01131,0.01227
time,170,170,0.0862,0.0862,0.5679,1.23,balanced,0.01118,0.01208,0.01334,0.01331,0.01082
back,170,170,0.0763,0.0763,0.7699,1.22,balanced,0.01408,0.01184,0.01151,0.01233,0.0134
big,170,170,0.0508,0.0508,0.7061,1.17,balanced,0.01029,0.00924,0.01033,0.01032,0.01082
