domain,Include as News? (Y/N),Coding Notes,score,rounded_n_shares,rounded_n_accts,fb_score,mturk_score,budak_score,allsides_score,allsides_score_community,pew_score,news_fakenews_proj,news_googlenews,news_manual,news_tvnews_data,news_webshrinker,news_ribiero,news_n,news_is_news
weartv.com,y,,0.5108,400,200,,,,,,,,,,1,1,1,2,1
chiv.it,n,,0.3727,300,200,,,,,,,,,,,1,1,1,1
thewalkingdead.com,n,,0.2015,300,200,,,,,,,,0,,,1,1,1,1
fox35orlando.com,y,,0.5019,600,200,,,,,,,,,,1,1,1,2,1
radioiowa.com,y,,0.2846,300,200,,,,,,,,,,,1,1,1,1
normantranscript.com,y,,0.3523,300,200,,,,,,,,,,1,1,1,2,1
disclose.tv,n,,0.3646,400,200,,,,,,,1,,,,0,1,1,1
newsherald.com,y,,0.5541,300,200,,,,,,,,,,1,1,1,2,1
wjactv.com,y,,0.4287,400,200,,,,,,,1,,,1,0,1,2,1
cbs2iowa.com,y,,0.2,400,200,,,,,,,,,,1,1,1,2,1
myfoxphoenix.com,y,,0.3768,300,200,,,,,,,,,,,1,1,1,1
aviationweek.com,n,,0.4054,800,200,,,,,,,,1,,,1,1,1,1
your4state.com,n,,0.3686,700,200,,,,,,,,0,,,1,1,1,1
earthquaketrack.com,n,,0.3517,2200,200,,,,,,,,0,,,1,1,1,1
poststar.com,y,,0.2347,400,200,,,,,,,,,,1,1,1,2,1
ocolly.com,y,,0.5257,500,200,,,,,,,,,,1,1,1,2,1
hngn.com,y,,0.2101,800,200,,0.08333333333,,,,,,0,,,1,1,1,1
myfoxorlando.com,y,,0.3427,300,200,,,,,,,,,,,1,1,1,1
macon.com,y,,0.2181,300,200,,,,,,,,,,1,1,1,2,1
wxii12.com,y,,0.4629,400,200,,,,,,,1,,,1,1,1,3,1
jimrome.com,y,,0.4939,200,200,,,,,,,,0,,,1,1,1,1
kwqc.com,y,,0.2925,800,200,,,,,,,,,,1,1,1,2,1
thonline.com,y,,0.2875,400,200,,,,,,,,,,1,1,1,2,1
bigcatcountry.com,y,,0.5859,600,200,,,,,,,,1,,,1,1,1,1
kktv.com,y,,0.4321,400,200,,,,,,,,,,1,1,1,2,1
on.wvec.com,n,,0.4484,400,200,,,,,,,,,,,1,1,1,1
thelostogle.com,y,,0.2089,300,200,,,,,,,,0,,,1,1,1,1
kdlt.com,y,,0.4655,500,200,,,,,,,,,,1,1,1,2,1
blog.triblive.com,n,broken link,0.2428,300,200,,,,,,,,,,,1,1,1,1
wsmv.com,y,,0.2428,300,200,,,,,,,,,,1,1,1,2,1
iontelevision.com,n,,0.3323,600,200,,,,,,,,,,1,0,1,1,1
3newsnow.com,y,,0.3859,300,200,,,,,,,,1,,,1,1,1,1
bnd.com,y,,0.2513,200,200,,,,,,,,,,1,1,1,2,1
social.publix.com,n,broken link,0.5032,200,200,,,,,,,,0,,,1,1,1,1
fox8.com,y,,0.3226,200,200,-0.1676,,,,,,,,,1,1,1,2,1
odmp.org,n,,0.5697,400,200,0.5967,,,,,,,0,,,1,1,1,1
gastongazette.com,y,,0.2891,800,200,,,,,,,,,,1,1,1,2,1
mitchellrepublic.com,y,,0.5818,1400,200,,,,,,,,,,1,1,1,2,1
und.com,n,,0.4553,300,200,,,,,,,,1,,,1,1,1,1
on.wbir.com,n,,0.3682,300,200,,,,,,,,,,,1,1,1,1
heraldmailmedia.com,y,,0.2935,600,200,,,,,,,,,,1,1,1,2,1
bestyearever.me,n,,0.533,300,200,,,,,,,,,,,1,1,1,1
firehouse.com,n,,0.4172,400,200,,,,,,,,1,,,1,1,1,1
idahonews.com,y,,0.3682,400,200,,,,,,,,,,,1,1,1,1
lsureveille.com,y,,0.3449,500,200,,,,,,,,,,1,1,1,2,1
local12.com,y,,0.3635,200,200,,,,,,,,,,1,1,1,2,1
investmentwatchblog.com,n,,0.5706,300,200,,,,,,,,0,,,1,1,1,1
mycn2.com,n,,0.2413,500,200,,,,,,,,1,,,1,1,1,1
wccbcharlotte.com,y,,0.3255,300,200,,,,,,,,0,,,1,1,1,1
nonpareilonline.com,y,,0.5956,400,200,,,,,,,,,,1,0,1,1,1
wpsdlocal6.com,y,,0.2082,600,200,,,,,,,,,,1,1,1,2,1
amestrib.com,y,,0.2889,400,200,,,,,,,,,,1,1,1,2,1
oudaily.com,y,,0.3389,300,200,,,,,,,,,,1,1,1,2,1
pahomepage.com,y,,0.2519,1800,200,,,,,,,,,,1,1,1,2,1
klkntv.com,y,,0.3823,400,200,,,,,,,,,,1,1,1,2,1
businessreport.com,y,,0.4646,500,200,,,,,,,,,,1,1,1,2,1
phillypolice.com,n,,0.3965,200,200,,,,,,,,0,,,1,1,1,1
wbng.com,y,,0.2612,500,200,,,,,,,,1,,,1,1,1,1
thespectrum.com,y,,0.4745,300,200,,,,,,,1,,,1,0,1,2,1
insidesources.com,y,,0.216,200,200,,,,,,,,,,,1,1,1,1
kearneyhub.com,y,,0.5697,600,200,,,,,,,,,,1,1,1,2,1
windowscentral.com,n,,0.249,400,200,,,,,,,1,,,,0,1,1,1
cbs8.com,y,,0.2917,500,200,,,,,,,,,,1,1,1,2,1
businessrecord.com,y,,0.3629,500,200,,,,,,,,,,,1,1,1,1
wbko.com,y,,0.3727,500,200,,,,,,,,1,,,1,1,1,1
fox9.com,y,,0.2946,200,200,,,,,,,,,,1,1,1,2,1
nashcountrydaily.com,y,,0.4698,400,200,,,,,,,1,,,,0,1,1,1
journalrecord.com,y,,0.4027,800,200,,,,,,,,,,1,1,1,2,1
10news.com,y,,0.3315,200,200,,,,,,,,,,1,1,1,2,1
activistpost.com,y,,0.3365,200,200,,,,,,,1,,,,1,1,2,1
aberdeennews.com,y,,0.4177,1400,200,,,,,,,,,,1,1,1,2,1
wktv.com,y,,0.2591,1300,200,,,,,,,1,,,1,1,1,3,1
wabi.tv,y,,0.3088,600,200,,,,,,,,,,1,1,1,2,1
njherald.com,y,,0.2805,1000,200,,,,,,,,,,1,1,1,2,1
cpbj.com,y,,0.2917,1100,200,,,,,,,,,,,1,1,1,1
foxcarolina.com,y,,0.4484,200,200,0.3233,,,,,,,,,1,1,1,2,1
ksla.com,y,,0.4882,300,200,,,,,,,1,,,1,1,1,3,1
wearecentralpa.com,y,,0.2729,300,200,,,,,,,,,,1,1,1,2,1
statter911.com,y,,0.34,400,200,,,,,,,,1,,,1,1,1,1
emporiagazette.com,y,,0.3673,500,200,,,,,,,,,,1,1,1,2,1
wtxl.com,y,,0.2042,300,200,,,,,,,,,,1,1,1,2,1
chainstoreage.com,y,,0.2341,500,200,,,,,,,,,,,1,1,1,1
idahopress.com,y,,0.4522,500,200,,,,,,,,,,1,1,1,2,1
wowktv.com,y,,0.2636,300,200,,,,,,,,,,1,1,1,2,1
mydoterra.com,n,,0.5272,500,200,,,,,,,,,,,1,1,1,1
theduran.com,y,,0.5252,300,200,,,,,,,,0,,,1,1,1,1
inspiremore.com,y,,0.2024,200,200,,,,,,,,,,,1,1,1,1
fox17.com,y,,0.2961,200,200,,,,,,,,,,1,1,1,2,1
tonyrobbins.com,n,,0.2961,200,200,,,,,,,,0,,,1,1,1,1
realclearpolicy.com,y,,0.2715,200,200,,,,,,,,,,,1,1,1,1
kimt.com,y,,0.5271,300,200,,,,,,,,,,1,1,1,2,1
greeleytribune.com,y,,0.2,400,200,,,,,,,,,,1,1,1,2,1
starcasm.net,y,,0.2883,200,100,,,,,,,,0,,,1,1,1,1
neonnettle.com,y,,0.5061,200,100,,,,,,,1,,,,1,1,2,1
cfnews13.com,y,,0.3246,200,100,,,,,,,,,,,1,1,1,1
ldnews.com,y,,0.4414,400,100,,,,,,,,,,1,0,1,1,1
reporterherald.com,y,,0.2672,200,100,,,,,,,,,,1,1,1,2,1
nysun.com,y,,0.5494,200,100,,,,,,,,,,1,0,1,1,1
thetowntalk.com,y,,0.3607,400,100,,,,,,,,,,1,1,1,2,1
farmersalmanac.com,n,,0.2598,200,100,,,,,,,,,,,1,1,1,1
on.ktvb.com,y,,0.5096,300,100,,,,,,,,,,,1,1,1,1
statejournal.com,y,,0.2174,400,100,,,,,,,,,,1,1,1,2,1
