date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20230410,center-left,52,0.0104,52,0.0104,5000
20230410,center,54,0.0108,53,0.0106,5000
20230410,center-right,38,0.0076,37,0.0074,5000
20230410,far-right,0,0,0,0,0
20230417,far-left,61,0.0122,61,0.0122,5000
20230417,center-left,38,0.0076,38,0.0076,5000
20230417,center,51,0.0102,51,0.0102,5000
20230417,center-right,67,0.0134,66,0.0132,5000
20230417,far-right,0,0,0,0,0
20230424,far-left,52,0.0104,51,0.0102,5000
20230424,center-left,42,0.0084,41,0.0082,5000
20230424,center,39,0.0078,39,0.0078,5000
20230424,center-right,43,0.0086,43,0.0086,5000
20230424,far-right,0,0,0,0,0
20230501,far-left,47,0.0094,47,0.0094,5000
20230501,center-left,43,0.0086,43,0.0086,5000
20230501,center,45,0.009,43,0.0086,5000
20230501,center-right,49,0.0098,49,0.0098,5000
20230501,far-right,0,0,0,0,0
20230508,far-left,53,0.0106,52,0.0104,5000
20230508,center-left,48,0.0096,48,0.0096,5000
20230508,center,49,0.0098,49,0.0098,5000
20230508,center-right,60,0.012,60,0.012,5000
20230508,far-right,0,0,0,0,0
20230515,far-left,45,0.009,45,0.009,5000
20230515,center-left,40,0.008,40,0.008,5000
20230515,center,52,0.0104,51,0.0102,5000
20230515,center-right,53,0.0106,53,0.0106,5000
20230515,far-right,0,0,0,0,0
20230522,far-left,48,0.0096,48,0.0096,5000
20230522,center-left,0,0,0,0,0
20230522,center,41,0.0082,40,0.008,5000
20230522,center-right,56,0.0112,54,0.0108,5000
20230522,far-right,0,0,0,0,0
20230529,far-left,55,0.011,55,0.011,5000
20230529,center-left,42,0.0084,42,0.0084,5000
20230529,center,45,0.009,44,0.0088,5000
20230529,center-right,50,0.01,50,0.01,5000
20230529,far-right,0,0,0,0,0
20230605,far-left,52,0.0104,50,0.01,5000
20230605,center-left,32,0.0064,32,0.0064,5000
20230605,center,40,0.008,40,0.008,5000
20230605,center-right,57,0.0114,56,0.0112,5000
20230605,far-right,0,0,0,0,0
20230612,far-left,36,0.0072,36,0.0072,5000
20230612,center-left,36,0.0072,36,0.0072,5000
20230612,center,50,0.01,50,0.01,5000
20230612,center-right,43,0.0086,41,0.0082,5000
20230612,far-right,0,0,0,0,0
20230619,far-left,49,0.0098,48,0.0096,5000
20230619,center-left,0,0,0,0,0
20230619,center,41,0.0082,41,0.0082,5000
20230619,center-right,0,0,0,0,0
20230619,far-right,0,0,0,0,0
20230626,far-left,40,0.008,40,0.008,5000
20230626,center-left,43,0.0086,41,0.0082,5000
20230626,center,39,0.0078,37,0.0074,5000
20230626,center-right,44,0.0088,44,0.0088,5000
20230626,far-right,0,0,0,0,0
