term,weeks_mentioned,filename
files,23,files-historical.csv
release,23,release-historical.csv
george,23,george-historical.csv
office,23,office-historical.csv
ron,23,ron-historical.csv
ceo,23,ceo-historical.csv
putin,23,putin-historical.csv
finds,23,finds-historical.csv
pride,23,pride-historical.csv
june,23,june-historical.csv
expert,23,expert-historical.csv
walz,23,walz-historical.csv
hegseth,23,hegseth-historical.csv
worth,22,worth-historical.csv
book,22,book-historical.csv
utah,22,utah-historical.csv
super,22,super-historical.csv
