date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20230417,center-left,44,0.0088,44,0.0088,5000
20230417,center,57,0.0114,57,0.0114,5000
20230417,center-right,95,0.019,95,0.019,5000
20230417,far-right,128,0.0256,127,0.0254,5000
20230424,far-left,112,0.0224,112,0.0224,5000
20230424,center-left,58,0.0116,58,0.0116,5000
20230424,center,60,0.012,60,0.012,5000
20230424,center-right,73,0.0146,72,0.0144,5000
20230424,far-right,119,0.0238,118,0.0236,5000
20230501,far-left,87,0.0174,86,0.0172,5000
20230501,center-left,61,0.0122,60,0.012,5000
20230501,center,0,0,0,0,0
20230501,center-right,69,0.0138,68,0.0136,5000
20230501,far-right,120,0.024,119,0.0238,5000
20230508,far-left,74,0.0148,73,0.0146,5000
20230508,center-left,42,0.0084,41,0.0082,5000
20230508,center,44,0.0088,44,0.0088,5000
20230508,center-right,48,0.0096,47,0.0094,5000
20230508,far-right,126,0.0252,123,0.0246,5000
20230515,far-left,92,0.0184,92,0.0184,5000
20230515,center-left,39,0.0078,39,0.0078,5000
20230515,center,49,0.0098,47,0.0094,5000
20230515,center-right,51,0.0102,50,0.01,5000
20230515,far-right,107,0.0214,106,0.0212,5000
20230522,far-left,112,0.0224,112,0.0224,5000
20230522,center-left,53,0.0106,53,0.0106,5000
20230522,center,49,0.0098,48,0.0096,5000
20230522,center-right,75,0.015,74,0.0148,5000
20230522,far-right,121,0.0242,119,0.0238,5000
20230529,far-left,90,0.018,90,0.018,5000
20230529,center-left,55,0.011,54,0.0108,5000
20230529,center,49,0.0098,49,0.0098,5000
20230529,center-right,76,0.0152,75,0.015,5000
20230529,far-right,103,0.0206,103,0.0206,5000
20230605,far-left,96,0.0192,96,0.0192,5000
20230605,center-left,35,0.007,35,0.007,5000
20230605,center,47,0.0094,47,0.0094,5000
20230605,center-right,54,0.0108,54,0.0108,5000
20230605,far-right,139,0.0278,139,0.0278,5000
20230612,far-left,109,0.0218,109,0.0218,5000
20230612,center-left,38,0.0076,38,0.0076,5000
20230612,center,43,0.0086,43,0.0086,5000
20230612,center-right,59,0.0118,59,0.0118,5000
20230612,far-right,141,0.0282,139,0.0278,5000
20230619,far-left,113,0.0226,112,0.0224,5000
20230619,center-left,29,0.0058,29,0.0058,5000
20230619,center,54,0.0108,53,0.0106,5000
20230619,center-right,77,0.0154,77,0.0154,5000
20230619,far-right,135,0.027,132,0.0264,5000
20230626,far-left,55,0.011,55,0.011,5000
20230626,center-left,0,0,0,0,0
20230626,center,44,0.0088,44,0.0088,5000
20230626,center-right,44,0.0088,43,0.0086,5000
20230626,far-right,128,0.0256,124,0.0248,5000
20230703,far-left,94,0.0188,93,0.0186,5000
20230703,center-left,44,0.0088,44,0.0088,5000
20230703,center,45,0.009,45,0.009,5000
20230703,center-right,70,0.014,70,0.014,5000
20230703,far-right,157,0.0314,153,0.0306,5000
20230710,far-left,94,0.0188,93,0.0186,5000
20230710,center-left,45,0.009,45,0.009,5000
20230710,center,53,0.0106,51,0.0102,5000
20230710,center-right,80,0.016,80,0.016,5000
20230710,far-right,162,0.0324,159,0.0318,5000
20230717,far-left,111,0.0222,111,0.0222,5000
20230717,center-left,57,0.0114,57,0.0114,5000
20230717,center,50,0.01,50,0.01,5000
20230717,center-right,66,0.0132,66,0.0132,5000
20230717,far-right,130,0.026,129,0.0258,5000
20230724,far-left,97,0.0194,95,0.019,5000
20230724,center-left,48,0.0096,47,0.0094,5000
20230724,center,0,0,0,0,0
20230724,center-right,69,0.0138,69,0.0138,5000
20230724,far-right,140,0.028,135,0.027,5000
20230731,far-left,62,0.0124,59,0.0118,5000
20230731,center-left,41,0.0082,41,0.0082,5000
20230731,center,0,0,0,0,0
20230731,center-right,47,0.0094,47,0.0094,5000
20230731,far-right,87,0.0174,87,0.0174,5000
20230807,far-left,60,0.012,59,0.0118,5000
20230807,center-left,49,0.0098,49,0.0098,5000
20230807,center,43,0.0086,43,0.0086,5000
20230807,center-right,60,0.012,60,0.012,5000
20230807,far-right,103,0.0206,102,0.0204,5000
20230814,far-left,39,0.0078,39,0.0078,5000
20230814,center-left,0,0,0,0,0
20230814,center,43,0.0086,42,0.0084,5000
20230814,center-right,35,0.007,35,0.007,5000
20230814,far-right,90,0.018,89,0.0178,5000
20230821,far-left,44,0.0088,44,0.0088,5000
20230821,center-left,36,0.0072,36,0.0072,5000
20230821,center,52,0.0104,52,0.0104,5000
20230821,center-right,52,0.0104,52,0.0104,5000
20230821,far-right,112,0.0224,110,0.022,5000
20230828,far-left,51,0.0102,51,0.0102,5000
20230828,center-left,41,0.0082,41,0.0082,5000
20230828,center,42,0.0084,42,0.0084,5000
20230828,center-right,63,0.0126,62,0.0124,5000
20230828,far-right,109,0.0218,105,0.021,5000
20230904,far-left,71,0.0142,69,0.0138,5000
20230904,center-left,39,0.0078,39,0.0078,5000
20230904,center,45,0.009,44,0.0088,5000
20230904,center-right,52,0.0104,49,0.0098,5000
20230904,far-right,128,0.0256,127,0.0254,5000
20230911,far-left,101,0.0202,100,0.02,5000
20230911,center-left,43,0.0086,43,0.0086,5000
20230911,center,41,0.0082,41,0.0082,5000
20230911,center-right,77,0.0154,71,0.0142,5000
20230911,far-right,112,0.0224,111,0.0222,5000
20230918,far-left,155,0.031,154,0.0308,5000
20230918,center-left,48,0.0096,45,0.009,5000
20230918,center,42,0.0084,40,0.008,5000
20230918,center-right,79,0.0158,72,0.0144,5000
20230918,far-right,118,0.0236,118,0.0236,5000
20230925,far-left,118,0.0236,118,0.0236,5000
20230925,center-left,47,0.0094,46,0.0092,5000
20230925,center,50,0.01,50,0.01,5000
20230925,center-right,80,0.016,80,0.016,5000
20230925,far-right,172,0.0344,172,0.0344,5000
20231002,far-left,179,0.0358,179,0.0358,5000
20231002,center-left,58,0.0116,58,0.0116,5000
20231002,center,70,0.014,69,0.0138,5000
20231002,center-right,119,0.0238,117,0.0234,5000
20231002,far-right,218,0.0436,213,0.0426,5000
20231009,far-left,163,0.0326,160,0.032,5000
20231009,center-left,48,0.0096,47,0.0094,5000
20231009,center,45,0.009,45,0.009,5000
20231009,center-right,72,0.0144,72,0.0144,5000
20231009,far-right,140,0.028,139,0.0278,5000
20231016,far-left,225,0.045,216,0.0432,5000
20231016,center-left,52,0.0104,51,0.0102,5000
20231016,center,60,0.012,59,0.0118,5000
20231016,center-right,88,0.0176,87,0.0174,5000
20231016,far-right,162,0.0324,160,0.032,5000
20231023,far-left,237,0.0474,235,0.047,5000
20231023,center-left,77,0.0154,77,0.0154,5000
20231023,center,66,0.0132,66,0.0132,5000
20231023,center-right,112,0.0224,111,0.0222,5000
20231023,far-right,184,0.0368,179,0.0358,5000
20231030,far-left,127,0.0254,126,0.0252,5000
20231030,center-left,44,0.0088,44,0.0088,5000
20231030,center,49,0.0098,49,0.0098,5000
20231030,center-right,76,0.0152,74,0.0148,5000
20231030,far-right,135,0.027,132,0.0264,5000
20231106,far-left,123,0.0246,122,0.0244,5000
20231106,center-left,37,0.0074,37,0.0074,5000
20231106,center,56,0.0112,55,0.011,5000
20231106,center-right,84,0.0168,83,0.0166,5000
20231106,far-right,102,0.0204,102,0.0204,5000
20231113,far-left,123,0.0246,121,0.0242,5000
20231113,center-left,38,0.0076,37,0.0074,5000
