date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20231113,center,114,0.0228,113,0.0226,5000
20231113,center-right,142,0.0284,142,0.0284,5000
20231113,far-right,410,0.082,407,0.0814,5000
20231120,far-left,106,0.0234,104,0.023,4530
20231120,center-left,47,0.0094,46,0.0092,5000
20231120,center,62,0.0124,62,0.0124,5000
20231120,center-right,77,0.0154,77,0.0154,5000
20231120,far-right,386,0.0772,382,0.0764,5000
20231127,far-left,171,0.0342,169,0.0338,4996
20231127,center-left,47,0.0094,47,0.0094,5000
20231127,center,57,0.0114,57,0.0114,5000
20231127,center-right,124,0.0248,123,0.0246,5000
20231127,far-right,460,0.092,445,0.089,5000
20231204,far-left,181,0.0363,179,0.0359,4984
20231204,center-left,69,0.0138,69,0.0138,5000
20231204,center,52,0.0104,52,0.0104,5000
20231204,center-right,101,0.0202,99,0.0198,5000
20231204,far-right,533,0.107,508,0.102,5000
20231211,far-left,207,0.0415,206,0.0413,4984
20231211,center-left,70,0.014,70,0.014,5000
20231211,center,64,0.0128,63,0.0126,5000
20231211,center-right,97,0.0194,95,0.019,5000
20231211,far-right,538,0.108,524,0.105,5000
20231218,far-left,130,0.0277,130,0.0277,4697
20231218,center-left,60,0.012,60,0.012,5000
20231218,center,54,0.0108,53,0.0106,5000
20231218,center-right,71,0.0142,71,0.0142,5000
20231218,far-right,413,0.0826,407,0.0814,5000
20231225,far-left,63,0.0213,63,0.0213,2960
20231225,center-left,37,0.0074,37,0.0074,5000
20231225,center,0,0,0,0,0
20231225,center-right,49,0.0098,49,0.0098,5000
20231225,far-right,411,0.0822,401,0.0802,5000
20240101,far-left,99,0.0302,99,0.0302,3275
20240101,center-left,54,0.0108,54,0.0108,5000
20240101,center,46,0.0092,45,0.009,5000
20240101,center-right,67,0.0134,66,0.0132,5000
20240101,far-right,495,0.099,484,0.0968,5000
20240108,far-left,220,0.0443,218,0.0439,4966
20240108,center-left,54,0.0108,53,0.0106,5000
20240108,center,52,0.0104,51,0.0102,5000
20240108,center-right,82,0.0164,81,0.0162,5000
20240108,far-right,527,0.105,514,0.103,5000
20240115,far-left,109,0.0226,109,0.0226,4832
20240115,center-left,59,0.0118,59,0.0118,5000
