date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20230501,center-right,56,0.0112,56,0.0112,5000
20230501,far-right,238,0.0476,237,0.0474,5000
20230508,far-left,457,0.0914,451,0.0902,5000
20230508,center-left,57,0.0114,56,0.0112,5000
20230508,center,36,0.0072,35,0.007,5000
20230508,center-right,66,0.0132,66,0.0132,5000
20230508,far-right,302,0.0604,296,0.0592,5000
20230515,far-left,234,0.0468,231,0.0462,5000
20230515,center-left,50,0.01,49,0.0098,5000
20230515,center,0,0,0,0,0
20230515,center-right,52,0.0104,49,0.0098,5000
20230515,far-right,236,0.0472,233,0.0466,5000
20230522,far-left,283,0.0566,269,0.0538,5000
20230522,center-left,43,0.0086,43,0.0086,5000
20230522,center,42,0.0084,42,0.0084,5000
20230522,center-right,51,0.0102,51,0.0102,5000
20230522,far-right,180,0.036,177,0.0354,5000
20230529,far-left,323,0.0646,314,0.0628,5000
20230529,center-left,63,0.0126,60,0.012,5000
20230529,center,40,0.008,38,0.0076,5000
20230529,center-right,103,0.0206,103,0.0206,5000
20230529,far-right,352,0.0704,340,0.068,5000
20230605,far-left,582,0.116,567,0.113,5000
20230605,center-left,146,0.0292,146,0.0292,5000
20230605,center,96,0.0192,95,0.019,5000
20230605,center-right,178,0.0356,176,0.0352,5000
20230605,far-right,522,0.104,509,0.102,5000
20230612,far-left,609,0.122,601,0.12,5000
20230612,center-left,96,0.0192,95,0.019,5000
20230612,center,59,0.0118,55,0.011,5000
20230612,center-right,100,0.02,98,0.0196,5000
20230612,far-right,413,0.0826,404,0.0808,5000
20230619,far-left,341,0.0682,340,0.068,5000
20230619,center-left,64,0.0128,62,0.0124,5000
20230619,center,50,0.01,47,0.0094,5000
20230619,center-right,70,0.014,67,0.0134,5000
20230619,far-right,258,0.0516,253,0.0506,5000
20230626,far-left,357,0.0714,349,0.0698,5000
20230626,center-left,59,0.0118,59,0.0118,5000
20230626,center,49,0.0098,48,0.0096,5000
20230626,center-right,71,0.0142,71,0.0142,5000
20230626,far-right,210,0.042,199,0.0398,5000
20230703,far-left,334,0.0668,333,0.0666,5000
20230703,center-left,46,0.0092,46,0.0092,5000
20230703,center,0,0,0,0,0
20230703,center-right,39,0.0078,39,0.0078,5000
20230703,far-right,189,0.0378,185,0.037,5000
20230710,far-left,291,0.0582,289,0.0578,5000
20230710,center-left,54,0.0108,53,0.0106,5000
20230710,center,37,0.0074,37,0.0074,5000
20230710,center-right,64,0.0128,64,0.0128,5000
20230710,far-right,238,0.0476,228,0.0456,5000
20230717,far-left,445,0.089,439,0.0878,5000
20230717,center-left,56,0.0112,55,0.011,5000
20230717,center,0,0,0,0,0
20230717,center-right,54,0.0108,54,0.0108,5000
20230717,far-right,250,0.05,246,0.0492,5000
20230724,far-left,430,0.086,423,0.0846,5000
20230724,center-left,61,0.0122,61,0.0122,5000
20230724,center,54,0.0108,51,0.0102,5000
20230724,center-right,50,0.01,49,0.0098,5000
20230724,far-right,203,0.0406,202,0.0404,5000
20230731,far-left,811,0.162,796,0.159,5000
20230731,center-left,190,0.038,187,0.0374,5000
20230731,center,156,0.0312,153,0.0306,5000
20230731,center-right,184,0.0368,178,0.0356,5000
20230731,far-right,453,0.0906,433,0.0866,5000
20230807,far-left,531,0.106,523,0.105,5000
20230807,center-left,93,0.0186,92,0.0184,5000
20230807,center,58,0.0116,58,0.0116,5000
